"from id","to id","distance","duration"
"8","9","14356.556612034698","13"
"8","10","30233.30589965878","28"
"8","12","107238.07708673533","81"
"8","1","3513.8141253708022","3"
"9","8","14447.008612034695","13"
"9","10","16824.21174955814","17"
"9","12","109603.85877068756","92"
"9","1","10933.194549598104","9"
"10","8","30794.690899658806","29"
"10","9","17018.159583610926","17"
"10","12","131023.79277297562","77"
"10","1","27280.87683722217","25"
"12","8","107647.46308673524","82"
"12","9","110637.77077068744","93"
"12","10","131896.2597729757","78"
"12","1","110787.38028402359","85"
"1","8","3513.8141253708027","3"
"1","9","10842.742549598106","9"
"1","10","26719.491837222173","24"
"1","12","110377.99428402353","84"
